"doi","vector","vector_geo_location","location_type","vector_genotype","vector_strain","vector_generation","virus","virus_geo_location","virus_genotype","virus_strain","feed_virus_dose","dose_unit","lab_test","diss_sample_size","trans_sample_size","temperature","temp_unit","humidity","humid_unit","dpi","diss","diss_definition","trans","trans_definition"
"Bellone et al. 2023","Ae. albopictus","Montpellier France","urban",NA,"","F4-6","CHIKV","La Reunion","IOL","E1-226V",1e+07,"ffu/mL","RT-PCR","","31-35","20","degree C","80-90","percent",3,NA,"",0,"C"
"Bellone et al. 2023","Ae. albopictus","Montpellier France","urban",NA,"","F4-6","CHIKV","La Reunion","IOL","E1-226V",1e+07,"ffu/mL","RT-PCR","","31-35","20","degree C","80-90","percent",6,NA,"",0.035,"C"
"Bellone et al. 2023","Ae. albopictus","Montpellier France","urban",NA,"","F4-6","CHIKV","La Reunion","IOL","E1-226V",1e+07,"ffu/mL","RT-PCR","","31-35","20","degree C","80-90","percent",9,NA,"",0.54,"C"
"Bellone et al. 2023","Ae. albopictus","Montpellier France","urban",NA,"","F4-6","CHIKV","La Reunion","IOL","E1-226V",1e+07,"ffu/mL","RT-PCR","","31-35","20","degree C","80-90","percent",14,NA,"",0.41,"C"
"Mercier et al. 2022","Ae. albopictus","Urban park Dreri Albania","urban forest",NA,"","F4-5","CHIKV","La Reunion","IOL","CHIKV 06.21",1e+07,"FFu/mL","","13","13","20","degree C","","",3,0,"B",0,"C"
"Mercier et al. 2022","Ae. albopictus","Urban park Dreri Albania","urban forest",NA,"","F4-5","CHIKV","La Reunion","IOL","CHIKV 06.21",1e+07,"FFu/mL","","20","20","20","degree C","","",7,0.45,"B",0.1,"C"
"Mercier et al. 2022","Ae. albopictus","Urban park Dreri Albania","urban forest",NA,"","F4-5","CHIKV","La Reunion","IOL","CHIKV 06.21",1e+07,"FFu/mL","","20","20","20","degree C","","",10,0.45,"B",0.4,"C"
"Mercier et al. 2022","Ae. albopictus","Urban park Dreri Albania","urban forest",NA,"","F4-5","CHIKV","La Reunion","IOL","CHIKV 06.21",1e+07,"FFu/mL","","20","20","20","degree C","","",14,0.55,"B",0.4,"C"
"Mercier et al. 2022","Ae. albopictus","Urban park Dreri Albania","urban forest",NA,"","F4-5","CHIKV","La Reunion","IOL","CHIKV 06.21",1e+07,"FFu/mL","","20","20","20","degree C","","",21,0.55,"B",0.45,"C"
"Mercier et al. 2022","Ae. albopictus","Prisk Village Down Albania","rural",NA,"","F4-5","CHIKV","La Reunion","IOL","CHIKV 06.21",1e+07,"FFu/mL","","15","15","20","degree C","","",3,0.066,"B",0.066,"C"
